Date,Beach ID,Beach Name,Latitude,Longitude,Sampling Route,Sampling Type,"Enterococcus
 (colonies/100 mL)","Temperature
(°C)",pH ,Observations,,,,,,,,
2015-10-05,RW-12B,Playa el Combate,17.9747944,-67.2129056,Route 4: Cabo Rojo,Routine,10,30.20,7.88/7.87,,,,,,,,,
2015-10-05,RW-14A,Playa Moja Casabe,17.9858100,-67.2145900,Route 4: Cabo Rojo,Routine,1,30.30,7.88,,,,,,,,,
2015-10-05,RW-13,Balneario de Boquerón,18.0194417,-67.1722444,Route 4: Cabo Rojo,Routine,10,30.40,7.99,,,,,,,,,
2015-10-05,RW-8,Playa Buyé ,18.0488722,-67.1986250,Route 4: Cabo Rojo,Routine,10,29.90,7.88,,,,,,,,,
2015-10-05,RW-37,Villa Lamela,18.0645333,-67.1975278,Route 4: Cabo Rojo,Routine,1,29.50,8.01,,,,,,,,,
2015-10-05,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,41,29.30,8.01,,,,,,,,,
2015-10-05,RW-5,Balneario de Rincón,18.3409250,-67.2560056,Route 5: Añasco - Aguadilla,Routine,31,29.20,8.17,,,,,,,,,
2015-10-05,RW-22,Pico de Piedra,18.3843639,-67.2129889,Route 5: Añasco - Aguadilla,Routine,31,29.10,8.2,,,,,,,,,
2015-10-05,RW-16,Balneario Crash Boat,18.4576667,-67.1637778,Route 5: Añasco - Aguadilla,Routine,10,29.60,8.20/8.20,,,,,,,,,
2015-10-05,RW-33,Playita Rosada,17.9717167,-66.0315000,Route 3: Lajas - Salinas,Routine,1,30.20,8.1,,,,,,,,,
2015-10-05,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,63,31.00,7.93,,,,,,,,,
2015-10-05,RW-9,Caña Gorda,17.9525306,-66.8845611,Route 3: Lajas - Salinas,Routine,52,31.60,7.61,,,,,,,,,
2015-10-05,RW-34,Playa del Hilton,17.9692833,-66.6027278,Route 3: Lajas - Salinas,Routine,1,31.10,8.12,,,,,,,,,
2015-10-05,RW-35,Playa Jauca,17.9598889,-66.3704167,Route 3: Lajas - Salinas,Routine,10,32.50,8.35/8.34,,,,,,,,,
2015-10-05,RW-36,Balneario de Salinas,17.9775889,-66.3324972,Route 3: Lajas - Salinas,Routine,10,31.20,8.17,,,,,,,,,
2015-10-05,RW-24A,Balneario Sun Bay,18.0963030,-65.4654220,Vieques,Routine,1,29.40,8.06/8.06,,,,,,,,,
2015-10-05,RW-24B,Balneario Sun Bay,18.0967220,-65.4589440,Vieques,Routine,1,29.40,8.2/8.2,,,,,,,,,
2015-10-06,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,1,28.00,8.05,,,,,,,,,
2015-10-06,RW-39,Mar Chiquita,18.4729167,-66.4856556,Route: 6: Arecibo – Vega Alta ,Routine,10,28.50,8.14,,,,,,,,,
2015-10-06,RW-23,Balneario de Puerto Nuevo,18.4913667,-66.3990444,Route: 6: Arecibo – Vega Alta ,Routine,1,29.20,8.13,,,,,,,,,
2015-10-06,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.4812500,-66.3406556,Route: 6: Arecibo – Vega Alta ,Routine,1,29.30,8.12/8.12,,,,,,,,,
2015-10-06,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Routine,1,29.00,7.82,,,,,,,,,
2015-10-06,RW-19,Balneario Punta Salinas,18.4716583,-66.1859944,Route 1: Dorado - Loíza,Routine,1,28.90,7.98,,,,,,,,,
2015-10-06,RW-20A,Balneario El Escambrón,18.4672361,-66.0899583,Route 1: Dorado - Loíza,Routine,1,29.80,8.01,,,,,,,,,
2015-10-06,RW-25A,Playa Sixto Escobar,18.4667306,-66.0866667,Route 1: Dorado - Loíza,Routine,1,29.60,7.99,,,,,,,,,
