Date,Beach ID,Beach Name,Latitude,Longitude,Sampling Route,Sampling Type,Enterococcus_colonies,"Temperature
(°C)",pH ,Observations,Year,Month
2017-01-03,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,RE-sampling,199.0,25.90,Bacteriological Re-sampling,,2017,1
2017-01-03,RW-4,Balneario Punta Santiago,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,RE-sampling,74.0,25.30,Bacteriological Re-sampling,,2017,1
2017-01-10,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Routine,155.0,25.40,8.1,,2017,1
2017-01-10,RW-19,Balneario Punta Salinas,18.4716583,-66.1859944,Route 1: Dorado - Loíza,Routine,368.0,24.40,8.11,,2017,1
2017-01-10,RW-20A,Balneario El Escambrón,18.4672361,-66.0899583,Route 1: Dorado - Loíza,Routine,331.0,25.20,8.15,,2017,1
2017-01-10,RW-25A,Playa Sixto Escobar,18.4667306,-66.0866667,Route 1: Dorado - Loíza,Routine,256.0,25.20,8.23,,2017,1
2017-01-10,RW-27,Ocean Park,18.4530111,-66.0488806,Route 1: Dorado - Loíza,Routine,379.0,25.20,8.12,,2017,1
2017-01-10,RW-28,Playa El Alambique,18.4440917,-66.0221500,Route 1: Dorado - Loíza,Routine,171.0,24.00,8.16,,2017,1
2017-01-10,RW-21C,Balneario de Carolina,18.4459889,-66.0035722,Route 1: Dorado - Loíza,Routine,148.0,25.80,8.18,,2017,1
2017-01-10,RW-29,Vacía Talega,18.4478583,-65.9062306,Route 1: Dorado - Loíza,Routine,1333.0,25.20,8.32,,2017,1
2017-01-10,RW-7,Balneario Punta Guilarte,17.9620417,-66.0400000,Route 2: Arroyo - Luquillo,Routine,86.0,26.10,8.05,,2017,1
2017-01-10,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,109.0,27.00,8.07/8.07,,2017,1
2017-01-10,RW-2,Balneario Seven Seas,18.3692667,-65.6360722,Route 2: Arroyo - Luquillo,Routine,238.0,26.50,8.02,,2017,1
2017-01-10,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,160.0,25.80,7.84,,2017,1
